大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用
ビバレッジ,ティー｜TEAVANA™,アール グレイ ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785305076/4524785305076_11_s.jpg,,https://menu.starbucks.co.jp/4524785305076,180kcal,6.6g,6.3g,24.5g,0.2g,0.0g,24.5g,80mg,327mg,0.2g,3.7g,78mg,
ビバレッジ,ティー｜TEAVANA™,ゼンクラウド ウーロン ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785492820/4524785492820_11_s.jpg,,https://menu.starbucks.co.jp/4524785492820,180kcal,6.8g,6.3g,24.2g,0.2g,0.0g,24.2g,80mg,280mg,0.2g,3.7g,71mg,
ビバレッジ,ティー｜TEAVANA™,アイスティー(ブラック),https://asset.menu.starbucks.co.jp/public/sku_images/4524785024748/4524785024748_11_s.jpg,,https://menu.starbucks.co.jp/4524785024748,4kcal,0.0g,0.0g,0.8g,0.0g,0.0g,0.8g,0mg,43mg,0.0g,0.0g,61mg,
ビバレッジ,ティー｜TEAVANA™,アイスティー(パッション),https://asset.menu.starbucks.co.jp/public/sku_images/4524785349193/4524785349193_11_s.jpg,,https://menu.starbucks.co.jp/4524785349193,4kcal,0.0g,0.0g,1.3g,0.0g,0.0g,1.3g,0mg,36mg,0.0g,0.0g,0mg,
ビバレッジ,ティー｜TEAVANA™,イングリッシュ ブレックファスト,https://asset.menu.starbucks.co.jp/public/sku_images/4524785305328/4524785305328_11_s.jpg,,https://menu.starbucks.co.jp/4524785305328,5kcal,0.0g,0.0g,0.9g,0.0g,0.0g,0.9g,0mg,60mg,0.0g,0.0g,101mg,
ビバレッジ,ティー｜TEAVANA™,アール グレイ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785305366/4524785305366_11_s.jpg,,https://menu.starbucks.co.jp/4524785305366,2kcal,0.0g,0.0g,0.7g,0.0g,0.0g,0.7g,0mg,48mg,0.0g,0.0g,78mg,
ビバレッジ,ティー｜TEAVANA™,カモミール,https://asset.menu.starbucks.co.jp/public/sku_images/4524785305571/4524785305571_11_s.jpg,,https://menu.starbucks.co.jp/4524785305571,0kcal,0.0g,0.0g,0.2g,0.01g,0.0g,0.2g,6mg,22mg,0.0g,0.0g,0mg,
ビバレッジ,ティー｜TEAVANA™,ユースベリー®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785309104/4524785309104_11_s.jpg,,https://menu.starbucks.co.jp/4524785309104,5kcal,0.0g,0.0g,0.9g,0.008g,0.0g,0.9g,3mg,21mg,0.0g,0.0g,9mg,
ビバレッジ,ティー｜TEAVANA™,ほうじ茶,https://asset.menu.starbucks.co.jp/public/sku_images/4524785155473/4524785155473_11_s.jpg,,https://menu.starbucks.co.jp/4524785155473,3kcal,0.3g,0.0g,0.3g,0.0g,0.0g,0.3g,0mg,105mg,0.0g,0.0g,68mg,
ビバレッジ,ティー｜TEAVANA™,ゼンクラウド ウーロン,https://asset.menu.starbucks.co.jp/public/sku_images/4524785492868/4524785492868_11_s.jpg,,https://menu.starbucks.co.jp/4524785492868,1kcal,0.2g,0.0g,0.0g,0.0g,0.0g,0.0g,0mg,0mg,0.0g,0.0g,71mg,
